영화제목,평점,장르,국가,러닝타임
노킹	온	헤븐스	도어,9.1,"액션, 범죄, 드라마","독일, 네덜란드, 벨기에",89분
"제자,	옥한흠",9.1,다큐멘터리,한국,92분
하울의	움직이는	성,9.1,"애니메이션, 판타지",일본,119분
7인의	사무라이,9.1,"액션, 모험, 드라마",일본,205분
코렐라인:	비밀의	문	(106),9.1,"애니메이션, 판타지, 가족, 모험, 스릴러",미국,100분
에너미	오브	스테이트,9.1,"액션, 스릴러, 드라마",미국,131분
파	앤드	어웨이,9.1,"드라마, 서부, 멜로/로맨스",미국,140분
타짜,9.1,"범죄, 드라마",한국,139분
박하사탕,9.09,드라마,한국,135분
무간도,9.09,"범죄, 스릴러, 느와르",홍콩,100분
이프	온리	(78),9.09,"멜로/로맨스, 드라마","미국, 영국",96분
에반게리온:	파,9.09,"애니메이션, 액션,SF",일본,108분
이터널	선샤인	(50),9.09,"멜로/로맨스, 드라마, SF",미국,107분
추격자,9.09,"범죄, 스릴러, 액션",한국,123분
배트맨	2,9.09,"액션, SF, 판타지",미국,126분
오직	그대만,9.09,드라마,한국,105분
캐리비안의	해적	-	블랙	펄의	저주	(58),9.09,"판타지, 코미디, 모험",미국,143분
인터스텔라,9.09,SF,"미국, 영국",169분
빽	투	더	퓨쳐	3,9.08,"SF, 서부, 판타지, 코미디",미국,117분
호텔	르완다,9.08,"드라마, 전쟁","캐나다, 남아프리카 공화국",121분
베테랑,9.05,"액션, 드라마",한국,123분
누들,9.05,드라마,이스라엘,100분
스피드	(50),9.05,"액션, 스릴러",미국,115분
첩혈쌍웅,9.05,"느와르, 액션, 범죄",홍콩,110분
이보다	더	좋을	순	없다,9.05,"코미디, 드라마",미국,138분
하치	이야기,9.05,"가족, 드라마",미국,93분
벅스	라이프,9.05,"애니메이션, 모험, 판타지, 코미디",미국,96분
끝까지	간다,9.05,"범죄, 액션",한국,111분
터보,9.05,애니메이션,미국,95분
파이란,9.04,"멜로/로맨스, 드라마",한국,116분
슈퍼스타	감사용,9.04,"드라마, 코미디",미국,115분
엑스맨:	퍼스트	클래스	(30),9.04,"SF, 스릴러, 액션, 모험",미국,132분
고양이	춤,9.04,다큐멘터리,한국,76분
더	헌트,9.04,드라마,덴마크,115분
말레나,9.04,"드라마, 멜로/로맨스, 전쟁","미국, 이탈리아",94분
수상한	그녀,9.04,"코미디, 드라마",한국,124분
게임의	법칙,9.04,"액션, 느와르",한국,110분
개를	훔치는	완벽한	방법,9.04,"드라마, 가족",한국,109분
내	깡패	같은	애인,9.04,"코미디, 드라마, 멜로/로맨스",한국,105분
동감,9.04,"멜로/로맨스, 드라마, 판타지",한국,110분
볼트,9.04,"모험, 코미디, 가족, 판타지, 애니메이션",미국,96분
블랙	호크	다운,9.04,"전쟁, 드라마",미국,144분
극장판	사이코패스,9.04,"애니메이션, SF, 서스펜스, 범죄",일본,113분
올드보이,9.04,"드라마, 미스터리, 범죄, 스릴러",한국,120분
천녀유혼	3	-	도도도,9.04,"판타지, 공포, 멜로/로맨스, 액션",홍콩,105분
론	서바이버,9.04,"액션, 드라마, 스릴러, 전쟁",미국,121분
다크	나이트	라이즈,9.04,"액션, 범죄, 스릴러","미국, 영국",164분
캡틴	필립스,9.03,드라마,미국,134분
다이	하드	3,9.03,"액션, 범죄, 스릴러",미국,128분
노팅	힐,9.03,"멜로/로맨스, 코미디",미국,123분
후크,9.08,"가족, 모험, 판타지",미국,144분
그날	본	꽃의	이름을	우리는	아직	모른다,9.08,"애니메이션, 드라마",일본,99분
명탐정	코난:	침묵의	15분,9.08,애니메이션,일본,109분
시스터	액트	2	(26),9.08,"코미디, 뮤지컬",미국,107분
버킷	리스트	-	죽기	전에	꼭	하고	싶은	것들,9.08,"모험, 코미디, 드라마",미국,96분
샤인,9.08,"드라마, 멜로/로맨스",미국,105분
브루스	올마이티,9.08,"코미디, 판타지, 멜로/로맨스",미국,100분
연인,9.07,"드라마, 멜로/로맨스","프랑스, 영국",115분
월플라워,9.07,드라마,미국,102분
스타워즈	에피소드	3	-	시스의	복수,9.07,"SF, 모험, 액션",미국,139분
인디아나	존스	-	최후의	성전,9.07,"모험, 액션, 판타지",미국,127분
첨밀밀,9.07,"멜로/로맨스, 드라마",홍콩,118분
봄	여름	가을	겨울	그리고	봄,9.07,드라마,한국,106분
세븐	데이즈,9.07,"범죄, 스릴러",한국,125분
비긴	어게인,9.07,"드라마, 멜로/로맨스, 코미디",미국,104분
천녀유혼	2	-	인간도,9.07,"판타지, 공포, 멜로/로맨스",홍콩,103분
코알라,9.07,드라마,한국,100분
봄날은	간다,9.07,"드라마, 멜로/로맨스",한국,106분
인사이드	아웃,9.07,"애니메이션, 코미디",미국,102분
아홉살	인생,9.07,드라마,한국,105분
콘	에어	(78),9.06,"액션, 범죄, 스릴러",미국,115분
아이덴티티,9.06,"드라마, 스릴러",미국,90분
스트레인저	-	무황인담,9.06,"액션, 애니메이션",미국,103분
너는	내	운명,9.06,"멜로/로맨스, 드라마",한국,121분
아바타	(18),9.06,"SF, 모험, 액션",미국,162분
